x,y
12.673975,5.1087747
11.911254,6.399621
13.037737,4.7151723
12.800271,5.586156
12.915774,5.7858334
13.660184,3.1956205
12.003778,2.0955772
12.344779,2.0259168
13.423217,5.106983
11.562096,6.3554235
11.374916,6.594026
11.377594,7.081016
11.173099,7.601413
10.81314,6.2118764
12.773486,5.383257
12.257141,3.8859987
11.102573,7.13018
11.259416,3.627237
10.434629,8.195358
11.002594,2.1837626
11.14304,2.531106
12.085289,3.8216648
13.024905,3.8864756
9.393451,3.6360822
13.158313,2.1821275
10.758382,5.9902377
12.912901,5.6776204
10.465535,8.094007
12.029597,6.3261
13.479844,3.5213416
11.817525,6.538175
11.0823,5.93458
13.04888,3.0320253
11.107451,6.161916
12.7265625,3.7124557
10.678619,9.0182295
10.936762,7.9451175
11.418413,3.182602
11.12226,6.465722
12.508194,3.5286646
11.394295,7.236731
11.001086,6.343909
12.757186,5.5818963
12.75056,3.9558005
11.4489355,6.8143954
9.443688,4.280615
12.966413,5.782608
12.432538,3.4816818
12.725324,5.955105
12.128888,6.217407
11.055857,5.5037417
13.291161,3.9626155
12.042651,1.9787915
10.642351,7.8442416
12.116442,6.281739
12.468371,3.999026
10.747578,6.072302
11.154053,6.0855775
10.394218,8.304932
12.962203,5.5529356
11.017141,6.3834314
7.532445,12.6079235
9.420845,10.480408
7.53873,12.605626
8.127103,11.660135
10.317268,9.120696
10.945277,7.5662384
8.735111,11.344021
9.12021,10.625472
8.63634,10.81143
9.804705,9.805548
10.740036,2.9160123
10.62955,8.430575
7.836922,12.221674
10.233737,9.470705
10.803395,8.469777
8.565637,11.054021
7.5577016,12.402746
8.610493,3.8419688
10.768422,8.259768
8.730992,11.175745
10.402605,9.313171
7.649469,12.388624
7.8741403,11.9473
7.7579193,12.569614
7.6070065,12.426253
7.6916122,12.611614
8.289408,11.354076
8.069415,11.981238
10.717871,6.515926
8.200246,11.885338
7.4341416,12.69138
7.8351912,12.400771
8.6696415,11.181269
9.873766,3.8664677
7.602827,12.610632
8.311848,11.259696
8.008761,12.191025
7.6359167,12.417257
8.696515,11.416803
10.707529,8.263379
10.99799,2.0613277
11.660564,3.8772607
8.921669,10.932506
10.197874,7.280729
11.202527,1.9518702
9.036625,10.976644
7.734765,12.237242
8.216736,11.721901
10.689323,2.530759
9.517642,10.362989
7.7621827,12.310298
7.492241,12.712294
9.920865,9.9659605
10.027572,9.639181
10.321269,9.227801
10.921714,5.9164777
9.325199,10.59735
10.286746,8.328775
10.714976,7.9373603
8.049645,12.492404
9.798963,10.066119
9.732279,10.100218
10.4045515,9.024211
8.364463,11.618481
8.689323,11.549882
10.139359,9.812148
10.745602,2.556428
9.765983,10.049429
8.400549,11.320154
11.225146,7.0022407
7.464485,12.539175
9.601566,10.225672
7.6886997,12.679849
8.666331,11.504641
8.469962,11.448153
8.677189,10.8682575
10.542643,9.335321
9.155741,10.982641
8.518926,11.087641
13.746712,3.8142927
12.391786,6.239677
13.243994,3.1375258
13.157995,5.594472
13.1839075,5.544486
8.983406,2.792786
11.473774,6.6415668
12.288715,3.7474194
13.681136,3.651809
11.147138,2.924651
12.460563,6.197743
13.381198,3.5223014
13.680227,3.1137114
13.511706,2.998615
12.668735,1.9705191
13.637231,3.311373
13.378133,2.716625
13.552002,4.4304585
13.374868,5.3224545
13.1825285,5.0873227
13.693876,3.3968196
12.420129,5.7620616
10.977068,2.3743744
13.695064,4.016356
12.326927,3.7893417
13.728994,3.8468547
13.332428,2.3771794
13.270927,2.7963848
12.019101,6.552833
11.262681,6.238974
13.401137,5.2305665
12.483008,6.064071
13.270947,5.7263727
11.03352,7.758902
12.626435,5.740818
